"","Credit.Rating","Balance.of.Current.Account","Duration.of.Credit","Payment.of.Previous.Credits","Purpose.of.Credit","Amount.of.Credit","Value.of.Savings","Employed.by.Current.Employer.for","Installment.in...of.Available.Income","Marital.Status","Gender","Living.in.Current.Household.for","Most.Valuable.Assets","Age","Further.running.credits","Type.of.Apartment","Number.of.previous.credits.at.this.bank","Occupation"
"229","bad","no running account",24,"no previous credits","other",6743.8,"no savings","5-8 years","25-35","single","male","5-8 years","car",29,"no further running credits","rented","one","skilled employee"
"230","good","no balance",12,"paid back","used car",5063.8,"no savings","> 8 years","> 35","single","male",">8 years","life insurance",26,"no further running credits","free","5- 6","skilled employee"
"231","good",">$300",10,"no previous credits","other",2164.4,"no savings","1-5 years","15- 25","single","male","1-5 years","no assets",29,"no further running credits","rented","one","unskilled with permanant residence"
"232","bad","no balance",18,"paid back","furniture",1743,"no savings","1-5 years","< 15","married/widowed","male","1-5 years","life insurance",31,"no further running credits","rented","one","skilled employee"
"233","bad","no running account",24,"no previous credits","furniture",3414.6,"no savings","<1 year","< 15","divorced/living apart/married","female",">8 years","no assets",33,"no further running credits","rented","one","skilled employee"
"234","good","no running account",12,"paid back","new car",2136.4,"no savings","> 8 years","< 15","single","male",">8 years","ownership of house or land",64,"no further running credits","owned","2- 4","executive/self-employed"
"235","good","no running account",18,"paid back","furniture",2632,"no savings","5-8 years","< 15","married/widowed","male","< 1 year","car",30,"no further running credits","rented","2- 4","executive/self-employed"
"236","good","no balance",6,"no previous credits","furniture",1054.2,"no savings","1-5 years","25-35","divorced/living apart/married","female","5-8 years","no assets",62,"no further running credits","rented","one","skilled employee"
"237","bad","no balance",15,"no previous credits","furniture",1122.8,"no savings","> 8 years","< 15","single","male","5-8 years","life insurance",35,"no further running credits","rented","one","skilled employee"
"238","bad","no running account",6,"problematic running accounts","repair",1677.2,"no savings","> 8 years","< 15","divorced/living apart/married","female",">8 years","ownership of house or land",33,"no further running credits","owned","one","skilled employee"
"239","good",">$300",30,"no problems with current credits","retraining",5980.8,"<140","1-5 years","25-35","single","male","1-5 years","car",24,"no further running credits","rented","2- 4","unskilled with permanant residence"
"240","bad","no running account",12,"no previous credits","other",1260,">1400","1-5 years","< 15","married/widowed","male","1-5 years","life insurance",21,"no further running credits","rented","one","skilled employee"
"241","bad","no running account",12,"no previous credits","other",1062.6,"no savings","5-8 years","< 15","single","male","1-5 years","no assets",24,"no further running credits","rented","one","skilled employee"
"242","bad",">$300",21,"paid back","other",17752,">1400","> 8 years","< 15","single","male",">8 years","ownership of house or land",28,"no further running credits","owned","one","executive/self-employed"
"243","bad","no balance",30,"paid back","other",7327.6,"no savings","unemployed","< 15","married/widowed","male","1-5 years","life insurance",26,"no further running credits","rented","2- 4","executive/self-employed"
"244","good","no balance",12,"no previous credits","furniture",4102,"no savings","5-8 years","25-35","divorced/living apart/married","female","< 1 year","no assets",25,"no further running credits","rented","one","skilled employee"
"245","good","<= $300",12,"no previous credits","used car",3151.4,"no savings","1-5 years","> 35","divorced/living apart/married","female","1-5 years","life insurance",44,"no further running credits","rented","one","unskilled with permanant residence"
"246","good",">$300",36,"hesistant","household appliances",3658.2,"no savings","1-5 years","< 15","single","male","1-5 years","life insurance",25,"no further running credits","rented","2- 4","skilled employee"
"247","good","no running account",10,"paid back","used car",2984.8,">1400","<1 year","25-35","divorced/living apart/married","female","5-8 years","no assets",25,"no further running credits","free","2- 4","skilled employee"
"248","good","no balance",12,"paid back","new car",2525.6,"<140","<1 year","15- 25","single","male",">8 years","car",42,"no further running credits","rented","one","skilled employee"
"249","good",">$300",24,"no problems with current credits","retraining",3325,"140-700","1-5 years","< 15","single","male","1-5 years","life insurance",42,"no further running credits","rented","2- 4","skilled employee"
"250","good",">$300",30,"paid back","furniture",3963.4,"no savings","1-5 years","< 15","divorced/living apart/married","female","1-5 years","life insurance",31,"no further running credits","rented","one","skilled employee"
"251","good",">$300",12,"no previous credits","furniture",1766.8,"no savings","1-5 years","15- 25","single","male","1-5 years","life insurance",23,"no further running credits","rented","one","skilled employee"
"252","good",">$300",6,"paid back","furniture",2657.2,">1400","1-5 years","> 35","single","male","1-5 years","no assets",32,"no further running credits","rented","2- 4","unskilled with permanant residence"
"253","good","no balance",12,"no previous credits","used car",1376.2,"700-1400","<1 year","> 35","divorced/living apart/married","female",">8 years","no assets",18,"no further running credits","free","one","unskilled with permanant residence"
"254","good","no running account",12,"no previous credits","used car",5026,"no savings","1-5 years","25-35","single","male","1-5 years","car",27,"no further running credits","rented","one","unskilled with permanant residence"
"255","good","no balance",12,"hesistant","vacation",1974,"no savings","1-5 years","25-35","single","male","1-5 years","no assets",29,"no further running credits","rented","one","unskilled with permanant residence"
"256","bad","no balance",6,"no problems with current credits","other",1692.6,"no savings","unemployed","< 15","single","male",">8 years","car",45,"no further running credits","rented","one","executive/self-employed"
"257","good",">$300",12,"paid back","other",1628.2,"140-700","1-5 years","< 15","single","male",">8 years","no assets",42,"no further running credits","rented","one","skilled employee"
"258","bad","no running account",12,"no previous credits","other",1920.8,"no savings","5-8 years","25-35","divorced/living apart","male","5-8 years","life insurance",34,"no further running credits","rented","one","skilled employee"
"259","bad","no balance",36,"no previous credits","other",20045.2,"no savings","> 8 years","< 15","single","male","1-5 years","ownership of house or land",55,"no further running credits","owned","one","executive/self-employed"
"260","good",">$300",54,"hesistant","new car",13210.4,">1400","1-5 years","25-35","single","male","1-5 years","car",37,"no further running credits","rented","one","unskilled with permanant residence"
"261","good","no running account",6,"no previous credits","new car",1892.8,"140-700","unemployed","> 35","divorced/living apart/married","female","1-5 years","car",21,"no further running credits","free","one","unskilled with no permanant residence"
"262","good","no balance",14,"no previous credits","retraining",1974,"140-700","> 8 years","> 35","married/widowed","male","1-5 years","no assets",33,"no further running credits","rented","one","skilled employee"
"263","good",">$300",36,"no previous credits","other",4310.6,">1400","1-5 years","< 15","single","male",">8 years","no assets",34,"no further running credits","rented","one","skilled employee"
"264","good",">$300",24,"no previous credits","furniture",2146.2,"no savings","<1 year","< 15","divorced/living apart/married","female","5-8 years","life insurance",36,"at department store","rented","one","skilled employee"
"265","bad","no running account",12,"no previous credits","other",3610.6,"no savings","<1 year","< 15","single","male","< 1 year","no assets",31,"no further running credits","rented","one","unskilled with permanant residence"
"266","bad","no running account",36,"no previous credits","used car",4824.4,"no savings","> 8 years","< 15","single","male","1-5 years","life insurance",40,"no further running credits","rented","one","skilled employee"
"267","bad",">$300",12,"no previous credits","used car",1572.2,"140-700","1-5 years","< 15","divorced/living apart/married","female",">8 years","life insurance",27,"no further running credits","free","one","unskilled with permanant residence"
"268","good","no balance",30,"no problems with current credits","retraining",3504.2,"<140","> 8 years","< 15","single","male","1-5 years","car",39,"at department store","rented","2- 4","skilled employee"
"269","good",">$300",36,"paid back","new car",14667.8,">1400","> 8 years","25-35","single","male",">8 years","ownership of house or land",40,"no further running credits","owned","2- 4","skilled employee"
"270","good",">$300",24,"no previous credits","new car",3750.6,"no savings","<1 year","< 15","divorced/living apart/married","female","< 1 year","ownership of house or land",27,"no further running credits","rented","one","executive/self-employed"
"271","good",">$300",6,"no previous credits","television",1873.2,"140-700","1-5 years","> 35","divorced/living apart","male",">8 years","no assets",60,"no further running credits","rented","one","skilled employee"
"272","good","no running account",24,"paid back","furniture",1723.4,"700-1400","> 8 years","< 15","divorced/living apart/married","female",">8 years","car",55,"no further running credits","free","2- 4","executive/self-employed"
"273","good","no balance",18,"paid back","used car",10323.6,"no savings","unemployed","< 15","single","male",">8 years","car",38,"at department store","rented","2- 4","executive/self-employed"
"274","good",">$300",15,"no previous credits","television",1223.6,">1400","<1 year","< 15","divorced/living apart/married","female","< 1 year","no assets",22,"no further running credits","rented","one","skilled employee"
"275","good","no running account",20,"no previous credits","used car",3096.8,">1400","5-8 years","< 15","single","male",">8 years","life insurance",37,"no further running credits","rented","one","skilled employee"
"276","good","no balance",18,"no previous credits","furniture",4498.2,"140-700","<1 year","> 35","married/widowed","male","5-8 years","no assets",23,"no further running credits","free","one","skilled employee"
"277","bad","no running account",36,"no previous credits","new car",11520.6,"no savings","1-5 years","25-35","single","male","1-5 years","car",24,"no further running credits","rented","one","skilled employee"
"278","good","no balance",42,"paid back","retraining",8335.6,"no savings","5-8 years","25-35","divorced/living apart/married","female","< 1 year","no assets",39,"at other banks","rented","2- 4","unskilled with permanant residence"
"279","good","no running account",6,"paid back","other",5146.4,"no savings","1-5 years","> 35","single","male","5-8 years","no assets",35,"no further running credits","free","5- 6","skilled employee"
"280","bad","no balance",12,"no previous credits","household appliances",894.6,"no savings","1-5 years","< 15","single","male","1-5 years","life insurance",28,"no further running credits","rented","one","skilled employee"
"281","good",">$300",18,"paid back","other",1439.2,"no savings","1-5 years","< 15","divorced/living apart/married","female","5-8 years","no assets",34,"no further running credits","rented","2- 4","skilled employee"
"282","good",">$300",48,"problematic running accounts","retraining",5052.6,"no savings","1-5 years","> 35","divorced/living apart/married","female","< 1 year","no assets",25,"at department store","rented","one","skilled employee"
"283","bad","no running account",18,"no previous credits","used car",2854.6,"no savings","1-5 years","> 35","divorced/living apart/married","female",">8 years","no assets",18,"no further running credits","free","one","skilled employee"
"284","good","no balance",12,"no previous credits","other",1845.2,"700-1400","> 8 years","< 15","single","male",">8 years","no assets",52,"no further running credits","rented","one","skilled employee"
"285","good",">$300",27,"no problems with current credits","new car",12058.2,"700-1400","1-5 years","25-35","single","male","1-5 years","life insurance",25,"no further running credits","rented","2- 4","skilled employee"
"286","good","no running account",12,"paid back","other",2970.8,"no savings","1-5 years","15- 25","single","male","1-5 years","no assets",37,"no further running credits","free","2- 4","unskilled with permanant residence"
"287","good","no running account",12,"no previous credits","used car",2601.2,"no savings","<1 year","< 15","divorced/living apart/married","female","< 1 year","life insurance",20,"no further running credits","free","one","skilled employee"
"288","good",">$300",28,"paid back","furniture",3840.2,"no savings","> 8 years","< 15","single","male","1-5 years","life insurance",27,"no further running credits","rented","2- 4","skilled employee"
"289","good",">$300",12,"no previous credits","furniture",2997.4,"<140","5-8 years","15- 25","single","male","< 1 year","ownership of house or land",33,"no further running credits","rented","one","skilled employee"
"290","good",">$300",12,"paid back","furniture",730.8,"140-700","> 8 years","< 15","single","male",">8 years","car",40,"no further running credits","rented","2- 4","skilled employee"
"291","good",">$300",7,"paid back","furniture",1022,">1400","> 8 years","< 15","single","male","1-5 years","car",44,"no further running credits","free","2- 4","unskilled with permanant residence"
"292","good",">$300",24,"paid back","furniture",3112.2,"<140","> 8 years","< 15","single","male",">8 years","car",50,"at other banks","rented","2- 4","skilled employee"
"293","good",">$300",10,"no previous credits","other",1801.8,">1400","> 8 years","< 15","single","male","1-5 years","car",43,"no further running credits","rented","one","unskilled with permanant residence"
"294","bad","<= $300",15,"no previous credits","furniture",3257.8,"no savings","<1 year","25-35","divorced/living apart/married","female","5-8 years","no assets",23,"no further running credits","rented","one","unskilled with permanant residence"
"295","bad","no running account",12,"no previous credits","used car",11011,"no savings","> 8 years","< 15","single","male",">8 years","ownership of house or land",51,"no further running credits","owned","one","executive/self-employed"
"296","bad","no balance",24,"no previous credits","furniture",4328.8,"<140","<1 year","15- 25","married/widowed","male","1-5 years","life insurance",20,"no further running credits","free","one","skilled employee"
"297","bad","no running account",12,"no previous credits","furniture",992.6,"no savings","> 8 years","< 15","single","male",">8 years","no assets",55,"no further running credits","rented","one","unskilled with permanant residence"
"298","good","no balance",18,"paid back","used car",1813,"no savings","<1 year","< 15","divorced/living apart/married","female","< 1 year","car",25,"no further running credits","rented","2- 4","skilled employee"
"299","bad","no running account",24,"no previous credits","other",4372.2,"no savings","<1 year","< 15","divorced/living apart/married","female","< 1 year","car",25,"no further running credits","rented","one","skilled employee"
"300","good","no balance",12,"paid back","television",1993.6,"no savings","5-8 years","< 15","single","male","5-8 years","car",24,"no further running credits","rented","one","skilled employee"
"301","bad","no running account",18,"no previous credits","used car",3446.8,"no savings","1-5 years","25-35","single","male","1-5 years","life insurance",20,"no further running credits","rented","one","skilled employee"
"302","good",">$300",18,"no previous credits","used car",3521,"no savings","1-5 years","15- 25","single","male",">8 years","no assets",41,"no further running credits","rented","one","skilled employee"
"303","good",">$300",36,"paid back","furniture",4678.8,">1400","> 8 years","< 15","single","male","1-5 years","life insurance",49,"no further running credits","rented","one","skilled employee"
"304","bad","no balance",45,"paid back","furniture",6644.4,"no savings","<1 year","< 15","single","male","1-5 years","car",22,"at other banks","rented","2- 4","unskilled with permanant residence"
"305","good","no balance",6,"no previous credits","furniture",1495.2,"no savings","> 8 years","< 15","single","male",">8 years","life insurance",26,"no further running credits","rented","one","skilled employee"
"306","good",">$300",24,"paid back","new car",9578.8,">1400","1-5 years","25-35","single","male",">8 years","car",44,"no further running credits","rented","2- 4","executive/self-employed"
"307","bad",">$300",48,"no previous credits","retraining",6781.6,"no savings","unemployed","15- 25","single","male","1-5 years","life insurance",31,"no further running credits","free","one","executive/self-employed"
"308","good",">$300",12,"no previous credits","new car",6545,">1400","<1 year","> 35","divorced/living apart/married","female",">8 years","life insurance",18,"no further running credits","free","one","skilled employee"
"309","good",">$300",12,"paid back","repair",4991,">1400","<1 year","25-35","single","male","< 1 year","car",35,"no further running credits","rented","2- 4","unskilled with permanant residence"
"310","bad","no balance",18,"no previous credits","new car",18166.4,"no savings","unemployed","15- 25","divorced/living apart/married","female",">8 years","ownership of house or land",36,"no further running credits","owned","one","executive/self-employed"
"311","good","no balance",15,"paid back","retraining",3256.4,"140-700","1-5 years","25-35","single","male",">8 years","life insurance",25,"at other banks","rented","one","skilled employee"
"312","bad","no balance",36,"no problems with current credits","other",11320.4,"<140","> 8 years","25-35","single","male",">8 years","life insurance",40,"at department store","rented","7 or more","executive/self-employed"
"313","bad","no running account",12,"paid back","other",967.4,"no savings","> 8 years","< 15","single","male","5-8 years","car",33,"no further running credits","rented","2- 4","skilled employee"
"314","bad","<= $300",10,"no previous credits","other",1736,"<140","> 8 years","> 35","divorced/living apart/married","female",">8 years","ownership of house or land",46,"no further running credits","owned","one","unskilled with permanant residence"
"315","bad","no running account",12,"no previous credits","furniture",1017.8,"<140","<1 year","< 15","married/widowed","male","5-8 years","ownership of house or land",31,"no further running credits","rented","one","unskilled with permanant residence"
"316","good",">$300",12,"no previous credits","other",4937.8,">1400","<1 year","25-35","single","male","5-8 years","car",43,"no further running credits","rented","one","executive/self-employed"
"317","bad","no running account",24,"no previous credits","used car",4527.6,"no savings","<1 year","< 15","divorced/living apart/married","female",">8 years","no assets",21,"no further running credits","free","one","unskilled with permanant residence"
"318","good",">$300",36,"no previous credits","retraining",10372.6,">1400","> 8 years","15- 25","single","male","1-5 years","car",35,"no further running credits","rented","2- 4","skilled employee"
"319","good","<= $300",12,"no previous credits","furniture",4222.4,"no savings","1-5 years","15- 25","married/widowed","male","< 1 year","life insurance",22,"no further running credits","rented","one","skilled employee"
"320","good",">$300",10,"no previous credits","new car",3987.2,"<140","1-5 years","> 35","single","male","1-5 years","no assets",30,"no further running credits","rented","one","skilled employee"
"321","bad","no running account",24,"no previous credits","furniture",2552.2,"no savings","unemployed","< 15","single","male","1-5 years","life insurance",28,"at department store","rented","one","executive/self-employed"
"322","good","no running account",18,"no previous credits","used car",3722.6,"700-1400","1-5 years","< 15","single","male","1-5 years","life insurance",26,"no further running credits","rented","one","skilled employee"
"323","bad","no running account",24,"hesistant","used car",5754,"no savings","> 8 years","15- 25","single","male",">8 years","ownership of house or land",21,"at other banks","free","2- 4","skilled employee"
"324","good",">$300",4,"paid back","other",2037,"no savings","5-8 years","25-35","single","male","< 1 year","no assets",40,"no further running credits","rented","5- 6","unskilled with permanant residence"
"325","bad","no running account",24,"problematic running accounts","furniture",2164.4,"no savings","5-8 years","< 15","single","male",">8 years","life insurance",22,"at other banks","free","one","unskilled with permanant residence"
"326","good",">$300",36,"no previous credits","new car",11386.2,"no savings","1-5 years","> 35","divorced/living apart/married","female","1-5 years","car",28,"at other banks","rented","one","skilled employee"
"327","good",">$300",18,"paid back","furniture",1608.6,"700-1400","1-5 years","< 15","single","male","5-8 years","no assets",44,"no further running credits","rented","2- 4","skilled employee"
"328","good","no running account",12,"problematic running accounts","vacation",474.6,"no savings","> 8 years","< 15","married/widowed","male","< 1 year","life insurance",43,"at other banks","rented","one","unskilled with permanant residence"
"329","good","no running account",18,"no previous credits","furniture",2710.4,">1400","5-8 years","25-35","married/widowed","male",">8 years","life insurance",21,"no further running credits","free","2- 4","unskilled with permanant residence"
"330","good","no running account",24,"paid back","new car",4139.8,"no savings","> 8 years","< 15","single","male",">8 years","car",61,"no further running credits","rented","2- 4","skilled employee"
"331","good","no running account",15,"no previous credits","retraining",1128.4,"no savings","1-5 years","< 15","divorced/living apart/married","female",">8 years","car",20,"no further running credits","rented","one","unskilled with permanant residence"
"332","good",">$300",30,"paid back","furniture",6342,"no savings","5-8 years","< 15","divorced/living apart/married","female",">8 years","life insurance",24,"no further running credits","free","one","executive/self-employed"
"333","good","no balance",11,"no problems with current credits","furniture",6679.4,"no savings","5-8 years","25-35","single","male",">8 years","car",49,"no further running credits","rented","one","skilled employee"
"334","good",">$300",12,"no previous credits","furniture",3039.4,"no savings","<1 year","25-35","divorced/living apart/married","female","1-5 years","life insurance",27,"at other banks","rented","one","skilled employee"
"335","bad","no running account",18,"paid back","used car",2973.6,"no savings","1-5 years","< 15","divorced/living apart/married","female",">8 years","no assets",22,"no further running credits","free","2- 4","skilled employee"
"336","good",">$300",36,"no previous credits","furniture",5033,"no savings","> 8 years","< 15","single","male","1-5 years","life insurance",26,"no further running credits","rented","one","skilled employee"
"337","good","no running account",6,"no previous credits","other",926.8,"no savings","<1 year","15- 25","single","male",">8 years","no assets",39,"no further running credits","rented","one","unskilled with permanant residence"
"338","good",">$300",18,"paid back","furniture",1537.2,"no savings","unemployed","< 15","divorced/living apart/married","female",">8 years","life insurance",63,"no further running credits","rented","2- 4","unskilled with no permanant residence"
"339","good","no running account",12,"paid back","other",2969.4,"no savings","1-5 years","< 15","single","male","1-5 years","car",28,"no further running credits","rented","2- 4","skilled employee"
"340","good",">$300",12,"no previous credits","new car",3423,">1400","<1 year","25-35","married/widowed","male",">8 years","life insurance",24,"no further running credits","free","one","skilled employee"
"341","bad","no balance",36,"no previous credits","repair",17656.8,"<140","1-5 years","> 35","single","male",">8 years","ownership of house or land",45,"no further running credits","owned","one","skilled employee"
"342","good",">$300",36,"paid back","retraining",8825.6,">1400","> 8 years","< 15","single","male",">8 years","no assets",34,"no further running credits","rented","2- 4","skilled employee"
"343","good","no running account",30,"no previous credits","used car",5070.8,"700-1400","> 8 years","< 15","divorced/living apart/married","female",">8 years","car",55,"no further running credits","free","2- 4","skilled employee"
"344","good","no balance",30,"problematic running accounts","used car",4894.4,"700-1400","1-5 years","< 15","single","male","1-5 years","life insurance",32,"at department store","rented","one","skilled employee"
"345","bad","no balance",36,"hesistant","furniture",5325.6,"no savings","1-5 years","< 15","divorced/living apart/married","female","< 1 year","life insurance",40,"no further running credits","rented","one","skilled employee"
"346","good",">$300",12,"paid back","furniture",1366.4,">1400","> 8 years","< 15","single","male",">8 years","life insurance",33,"no further running credits","rented","2- 4","skilled employee"
"347","good","no running account",36,"no previous credits","used car",5068,"no savings","1-5 years","> 35","single","male","1-5 years","car",35,"no further running credits","rented","one","skilled employee"
"348","good",">$300",60,"no previous credits","other",9137.8,">1400","1-5 years","< 15","single","male",">8 years","ownership of house or land",32,"no further running credits","owned","one","skilled employee"
"349","bad","no balance",60,"problematic running accounts","business",20694.8,"<140","> 8 years","15- 25","divorced/living apart/married","female",">8 years","ownership of house or land",58,"at other banks","owned","2- 4","executive/self-employed"
"350","good","no balance",18,"no problems with current credits","retraining",3397.8,">1400","> 8 years","< 15","single","male","1-5 years","car",40,"no further running credits","rented","2- 4","skilled employee"
"351","good",">$300",22,"no previous credits","other",1796.2,">1400","5-8 years","< 15","divorced/living apart/married","female",">8 years","car",23,"no further running credits","free","one","skilled employee"
"352","good","no running account",6,"no previous credits","television",480.2,"no savings","<1 year","< 15","divorced/living apart/married","female","< 1 year","no assets",25,"no further running credits","rented","one","skilled employee"
"353","good","no balance",16,"paid back","other",1645,"no savings","unemployed","25-35","single","male","5-8 years","life insurance",66,"no further running credits","owned","5- 6","unskilled with no permanant residence"
"354","good","no running account",27,"paid back","retraining",3418.8,"no savings","> 8 years","< 15","single","male",">8 years","life insurance",41,"at department store","rented","7 or more","executive/self-employed"
"355","good","no balance",15,"no previous credits","household appliances",1831.2,"no savings","> 8 years","< 15","single","male",">8 years","life insurance",36,"no further running credits","rented","2- 4","unskilled with permanant residence"
"356","bad","no balance",9,"no previous credits","used car",1342.6,"no savings","1-5 years","> 35","divorced/living apart/married","female","1-5 years","life insurance",27,"at other banks","rented","one","skilled employee"
"357","bad","no balance",48,"hesistant","retraining",5381.6,"<140","5-8 years","< 15","single","male",">8 years","ownership of house or land",32,"no further running credits","owned","one","unskilled with permanant residence"
"358","good",">$300",24,"paid back","furniture",2591.4,"no savings","5-8 years","< 15","married/widowed","male","1-5 years","life insurance",31,"no further running credits","rented","2- 4","skilled employee"
"359","bad","no balance",27,"no previous credits","retraining",5481,"no savings","1-5 years","< 15","single","male","1-5 years","life insurance",34,"no further running credits","rented","one","skilled employee"
"360","bad","no running account",12,"no previous credits","vacation",1262.8,"no savings","5-8 years","< 15","married/widowed","male",">8 years","car",19,"no further running credits","free","one","skilled employee"
"361","good",">$300",36,"no previous credits","new car",6560.4,"no savings","1-5 years","25-35","single","male","1-5 years","ownership of house or land",30,"no further running credits","owned","one","executive/self-employed"
"362","good",">$300",15,"no previous credits","new car",6519.8,"no savings","1-5 years","15- 25","single","male","1-5 years","life insurance",28,"no further running credits","rented","one","skilled employee"
"363","bad","no balance",27,"hesistant","retraining",11645.2,"no savings","> 8 years","25-35","divorced/living apart/married","female",">8 years","ownership of house or land",40,"at department store","owned","2- 4","executive/self-employed"
"364","good",">$300",27,"paid back","used car",6336.4,"700-1400","<1 year","< 15","single","male","1-5 years","no assets",30,"at department store","rented","2- 4","unskilled with permanant residence"
"365","bad","no running account",48,"no previous credits","other",5503.4,"no savings","5-8 years","< 15","single","male",">8 years","ownership of house or land",44,"no further running credits","owned","one","skilled employee"
"366","good","no balance",24,"no problems with current credits","furniture",2174.2,"<140","5-8 years","15- 25","divorced/living apart/married","female","1-5 years","car",21,"no further running credits","free","2- 4","skilled employee"
"367","good","no balance",9,"no previous credits","other",4473,">1400","1-5 years","> 35","divorced/living apart/married","female","1-5 years","no assets",31,"no further running credits","rented","one","unskilled with permanant residence"
"368","good","<= $300",36,"no previous credits","furniture",6262.2,"no savings","> 8 years","< 15","single","male","1-5 years","life insurance",29,"no further running credits","rented","one","skilled employee"
"369","bad","no balance",9,"problematic running accounts","other",2011.8,"<140","5-8 years","25-35","single","male","5-8 years","ownership of house or land",27,"no further running credits","rented","one","skilled employee"
"370","good","no running account",30,"paid back","new car",8661.8,"<140","5-8 years","> 35","married/widowed","male",">8 years","life insurance",22,"no further running credits","free","2- 4","skilled employee"
"371","good",">$300",24,"no previous credits","other",2056.6,"<140","> 8 years","< 15","married/widowed","male",">8 years","no assets",39,"no further running credits","free","one","unskilled with permanant residence"
"372","good","no balance",20,"no previous credits","new car",9055.2,">1400","unemployed","> 35","divorced/living apart","male",">8 years","no assets",58,"no further running credits","rented","one","executive/self-employed"
"373","good","no running account",6,"paid back","furniture",473.2,"140-700","> 8 years","< 15","single","male",">8 years","life insurance",50,"no further running credits","rented","2- 4","skilled employee"
"374","bad","no balance",30,"hesistant","retraining",5992,"<140","1-5 years","< 15","divorced/living apart/married","female",">8 years","life insurance",24,"no further running credits","free","2- 4","unskilled with permanant residence"
"375","good",">$300",24,"no previous credits","used car",3969,"140-700","> 8 years","15- 25","single","male",">8 years","car",51,"no further running credits","rented","one","skilled employee"
"376","good","no running account",48,"no previous credits","repair",10466.4,"no savings","5-8 years","< 15","single","male","< 1 year","ownership of house or land",48,"no further running credits","owned","one","executive/self-employed"
"377","bad","no running account",18,"no previous credits","furniture",3640,"no savings","1-5 years","< 15","single","male",">8 years","ownership of house or land",63,"no further running credits","owned","2- 4","skilled employee"
"378","good","no running account",18,"problematic running accounts","furniture",2716,"no savings","<1 year","15- 25","single","male",">8 years","ownership of house or land",34,"at other banks","owned","one","executive/self-employed"
"379","good",">$300",6,"paid back","furniture",2436,"no savings","> 8 years","25-35","married/widowed","male","1-5 years","no assets",28,"no further running credits","free","2- 4","skilled employee"
"380","good",">$300",12,"no previous credits","furniture",2748.2,"no savings","5-8 years","< 15","single","male","1-5 years","life insurance",29,"no further running credits","free","2- 4","executive/self-employed"
"381","good","<= $300",12,"paid back","other",2072,"140-700","unemployed","25-35","single","male",">8 years","ownership of house or land",64,"at other banks","owned","5- 6","unskilled with no permanant residence"
"382","bad",">$300",24,"no previous credits","furniture",5069.4,"<140","> 8 years","25-35","single","male",">8 years","life insurance",29,"no further running credits","rented","2- 4","skilled employee"
"383","good","no running account",36,"no previous credits","other",4548.6,"no savings","5-8 years","25-35","single","male",">8 years","ownership of house or land",37,"at other banks","owned","one","executive/self-employed"
"384","good",">$300",12,"no previous credits","furniture",2902.2,"<140","1-5 years","< 15","divorced/living apart/married","female","1-5 years","no assets",26,"no further running credits","rented","one","skilled employee"
"385","good",">$300",18,"paid back","used car",2543.8,"no savings","1-5 years","< 15","divorced/living apart/married","female","1-5 years","ownership of house or land",26,"no further running credits","rented","2- 4","skilled employee"
"386","good",">$300",18,"no previous credits","other",3726.8,">1400","5-8 years","< 15","single","male","5-8 years","car",30,"no further running credits","rented","one","skilled employee"
"387","good","<= $300",4,"no previous credits","other",2091.6,">1400","<1 year","> 35","single","male","1-5 years","no assets",27,"no further running credits","rented","one","unskilled with permanant residence"
"388","good","no running account",24,"no previous credits","new car",3936.8,">1400","> 8 years","25-35","divorced/living apart/married","female",">8 years","no assets",24,"no further running credits","free","one","skilled employee"
"389","good",">$300",12,"paid back","used car",2228.8,"700-1400","5-8 years","15- 25","divorced/living apart/married","female","1-5 years","car",33,"no further running credits","rented","one","skilled employee"
"390","bad","no running account",18,"hesistant","used car",4359.6,"no savings","<1 year","> 35","divorced/living apart/married","female",">8 years","car",24,"no further running credits","free","one","skilled employee"
"391","good","no running account",6,"no previous credits","used car",599.2,"no savings","> 8 years","25-35","divorced/living apart/married","female","< 1 year","car",47,"at other banks","rented","one","skilled employee"
"392","good",">$300",60,"no problems with current credits","furniture",21914.2,"no savings","5-8 years","25-35","single","male",">8 years","life insurance",19,"no further running credits","rented","2- 4","skilled employee"
"393","good",">$300",24,"no previous credits","furniture",4529,"140-700","> 8 years","15- 25","divorced/living apart","male","1-5 years","life insurance",34,"no further running credits","rented","one","executive/self-employed"
"394","good",">$300",42,"paid back","used car",5657.4,"140-700","1-5 years","< 15","single","male",">8 years","no assets",34,"no further running credits","rented","2- 4","skilled employee"
"395","good",">$300",6,"hesistant","furniture",596.4,"no savings","> 8 years","< 15","married/widowed","male",">8 years","life insurance",37,"no further running credits","rented","one","unskilled with permanant residence"
"396","bad","no running account",24,"no previous credits","used car",4194.4,">1400","1-5 years","25-35","married/widowed","male",">8 years","life insurance",18,"no further running credits","rented","one","skilled employee"
"397","good",">$300",15,"no previous credits","used car",3791.2,"no savings","<1 year","25-35","single","male","5-8 years","car",25,"at other banks","rented","2- 4","unskilled with permanant residence"
"398","good","no balance",10,"problematic running accounts","furniture",1467.2,"no savings","1-5 years","< 15","single","male",">8 years","no assets",21,"at department store","rented","one","unskilled with permanant residence"
"399","bad","no running account",24,"problematic running accounts","used car",4972.8,"no savings","5-8 years","15- 25","single","male",">8 years","life insurance",25,"at other banks","rented","one","skilled employee"
